ID,Title,Assigned To,Case ID,Comment,Defects,Elapsed,Forecast,In Progress,Plan,Plan ID,Platform,Priority,References,Run,Run Configuration,Run ID,Section,Section Depth,Section Description,Status,Tested By,Tested On,Type,Version
T29586024,AdBreak.Start,,C2699965,"Google Chromecast Sabrina
PROD
Build nr 1.0.0.84",,,,,Analytics - DQI - P0s,R109732,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0," GCX-8488, GQA-3530, PLAY-1973",Analytics (DQI) - P0s,Android TV,R109734,AdBreak Schema,0,,Passed,Miguel Mota,5/23/2023 6:11 AM,Events,1.0.0.84
T29586025,AdBreak.Complete,,C2699966,"Google Chromecast Sabrina
PROD
Build nr 1.0.0.84",,,,,Analytics - DQI - P0s,R109732,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0," GCX-8488, GQA-3530, PLAY-1973",Analytics (DQI) - P0s,Android TV,R109734,AdBreak Schema,0,,Passed,Miguel Mota,5/23/2023 6:12 AM,Events,1.0.0.84
T29586031,Ad - start,,C2699977,"Google Chromecast Sabrina
PROD
Build nr 1.0.0.84",,,,,Analytics - DQI - P0s,R109732,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GCX-8488, GQA-3530, PLAY-1973",Analytics (DQI) - P0s,Android TV,R109734,AD schema,0,,Passed,Miguel Mota,5/23/2023 5:40 AM,Events,1.0.0.84
T29586032,"Ad - pausestart,pausestop,resume",,C2699979,"Google Chromecast Sabrina
PROD
Build nr 1.0.0.84",,,,,Analytics - DQI - P0s,R109732,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GCX-8488, GQA-3530, PLAY-1973",Analytics (DQI) - P0s,Android TV,R109734,AD schema,0,,Passed,Miguel Mota,5/23/2023 5:45 AM,Events,1.0.0.84
T29586033,"Ad - bufferstart,bufferstop,resume",,C2699980,"Google Chromecast Sabrina
PROD
Build nr 1.0.0.84",,,,,Analytics - DQI - P0s,R109732,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GCX-8488, GQA-3530, PLAY-1973",Analytics (DQI) - P0s,Android TV,R109734,AD schema,0,,Passed,Miguel Mota,5/23/2023 5:42 AM,Events,1.0.0.84
T29586034,Ad - stop,,C2699981,"Google Chromecast Sabrina
PROD
Build nr 1.0.0.84",,,,,Analytics - DQI - P0s,R109732,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GCX-8488, GQA-3530, PLAY-1973",Analytics (DQI) - P0s,Android TV,R109734,AD schema,0,,Passed,Miguel Mota,5/23/2023 5:47 AM,Events,1.0.0.84
T29586035,Ad - complete,,C2699982,"Google Chromecast Sabrina
PROD
Build nr 1.0.0.84",,,,,Analytics - DQI - P0s,R109732,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GCX-8488, GQA-3530, PLAY-1973",Analytics (DQI) - P0s,Android TV,R109734,AD schema,0,,Passed,Miguel Mota,5/23/2023 5:48 AM,Events,1.0.0.84
T29586026,Account. register,,C2699968,GCX-25948 - [Analytics] Account.register event missing key values,GCX-25948,,,,Analytics - DQI - P0s,R109732,All Platforms,P0,"GCX-8256, GQA-2890, IAPA-265, IAPA-137",Analytics (DQI) - P0s,Android TV,R109734,Account Schema,0,,Failed,Miguel Mota,5/23/2023 4:28 AM,Events,
T29586027,Account.create.profile,,C2699970,"GCX-25941 - [Analytics] Issue with lastLoginTime and migrationStatus keys in """"create"""" action of category """"profile""""",GCX-25941,,,,Analytics - DQI - P0s,R109732,All Platforms,P0,"GCX-8256, GQA-2890, IAPA-265, IAPA-137",Analytics (DQI) - P0s,Android TV,R109734,Account Schema,0,,Failed,Miguel Mota,5/23/2023 4:37 AM,Events,
T29586028,Authentication - Login,,C2699972,"Google Chromecast Sabrina
PROD
Build nr 1.0.0.84",,,,,Analytics - DQI - P0s,R109732,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GCX-8153, GQA-2673, IAPA-342, IAPA-303, IAPA-67",Analytics (DQI) - P0s,Android TV,R109734,Authentication.action,0,,Passed,Miguel Mota,5/23/2023 5:26 AM,Events,1.0.0.84
T29586029,Authentication - Logout,,C2699973,"Google Chromecast Sabrina
PROD
Build nr 1.0.0.84",,,,,Analytics - DQI - P0s,R109732,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GCX-8153, GQA-2673, IAPA-342, IAPA-303, IAPA-67",Analytics (DQI) - P0s,Android TV,R109734,Authentication.action,0,,Passed,Miguel Mota,5/23/2023 5:27 AM,Events,1.0.0.84
T29586030,Authentication-LoginStart,,C2699976,"Google Chromecast Sabrina
PROD
Build nr 1.0.0.84",,,,,Analytics - DQI - P0s,R109732,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GCX-8153, GQA-2673, IAPA-342, IAPA-303, IAPA-67",Analytics (DQI) - P0s,Android TV,R109734,Authentication.action,0,,Passed,Miguel Mota,5/23/2023 5:23 AM,Events,1.0.0.84
T29586036,Verify analytics for Connect Your Provider flow - Select provider from list,,C2699989,"Google Chromecast Sabrina
PROD
Build nr 1.0.0.84",,,,,Analytics - DQI - P0s,R109732,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,GQA-2229,Analytics (DQI) - P0s,Android TV,R109734,Analytics-new - sign in,0,,Passed,Miguel Mota,5/23/2023 7:01 AM,Events,1.0.0.84
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
ID,Title,Assigned To,Case ID,Comment,Defects,Elapsed,Forecast,In Progress,Plan,Plan ID,Platform,Priority,References,Run,Run Configuration,Run ID,Section,Section Depth,Section Description,Status,Tested By,Tested On,Type,Version
T29586051,Playback for user initiated videos,Miguel Mota,C2699960,"Comcast xi6
PROD
Build nr 1.0.2.4",,,,,Analytics - DQI - P0s,R109732,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GCX-8820, GQA-3581, PLAY-72, PLAY-1973, PLAY-102, PLAY-60, PLAY-55, GQA-2107",Analytics (DQI) - P0s,Comcast,R109735,Playback Schema,0,,Passed,Miguel Mota,5/23/2023 3:48 AM,Events,1.0.2.4
